Violation_Code,Health_Code,Violation_Summary,Category_Description,Violation_Template,Condition I,Condition II,Condition III,Condition IV,Condition V
10C,NYCHC 81.19(a),Lighting inadequate,"LIGHT, HEAT & VENTILATION",Lighting inadequate in that <CONDITION 86> <IN/AT/ON> <EQUIPMENT> <LOCATION>. NYCHC 81.19(a) ,One instance of inadequate lighting. Score: 2,Two instances of inadequate lighting. Score: 3,Three instances of inadequate lighting. Score: 4,Four or more instances of inadequate lighting. Score: 5,
10D,NYCHC 81.19(c),Ventilation,"LIGHT, HEAT & VENTILATION","Mechanical or natural ventilation system not provided, improperly installed, in disrepair, or maintained in that <CONDITION 88> <IN/AT/ON> <EQUIPMENT> <LOCATION>. NYCHC 81.19(c)  ",One mechanical or natural ventilation system not provided or inadequate. Example: no ventilation provided in bathroom. Score: 2,Two mechanical or natural ventilation systems not provided or inadequate. Example: no ventilation provided in bathroom and exhaust hood not sufficient to remove excess fumes in kitchen. Score: 3,"Three mechanical or natural ventilation systems not provided or inadequate. Example: no ventilation provided in bathroom, exhaust hood not sufficient to remove excess fumes in kitchen and grease collecting on walls. Score: 4","Four mechanical or natural ventilation systems not provided or inadequate. Example: no ventilation provided in bathroom, exhaust hood not sufficient to remove excess fumes in kitchen, grease collecting on walls, and smoke from smokehouse drifting into dining area. Score: 5",
10E,NYCHC 81.18(a)(3),Thermometers: cold storage/refrigerator,TEMPERATURE REGULATING,A numerically scaled temperature monitoring device(s) accurate to plus or minus 2 degrees Fahrenheit not provided <WARMEST/COOLEST> the <EQUIPMENT> <LOCATION>. NYCHC 81.18(a)(3) ,One refrigeration or hot holding unit not provided with accurate thermometer to measure the temperature in the warmest part of the refrigerator or coolest part of the hot storage facility. Score: 2,Two refrigeration or hot holding units not provided with accurate thermometers to measure the temperature in the warmest part of the refrigerator or coolest part of the hot storage facility. Score: 3,Three refrigeration or hot holding units not provided with accurate thermometers to measure the temperature in the warmest part of the refrigerator or coolest part of the hot storage facility. Score: 4,Four refrigeration or hot holdings units not provided with accurate thermometers to measure the temperature in the warmest part of the refrigerator or coolest part of the hot storage facility. Score: 5,
10E,NYCHC 81.18(b)(1),Thermometers: hot storage,TEMPERATURE REGULATING,A numerically scaled temperature monitoring device(s) accurate to plus or minus 2 degrees Fahrenheit not provided <WARMEST/COOLEST> the <EQUIPMENT> <LOCATION>.  NYCHC 81.18(b)(1),One refrigeration or hot holding unit not provided with accurate thermometer to measure the temperature in the warmest part of the refrigerator or coolest part of the hot storage facility. Score: 2,Two refrigeration or hot holding units not provided with accurate thermometers to measure the temperature in the warmest part of the refrigerator or coolest part of the hot storage facility. Score: 3,Three refrigeration or hot holding units not provided with accurate thermometers to measure the temperature in the warmest part of the refrigerator or coolest part of the hot storage facility. Score: 4,Four refrigeration or hot holdings units not provided with accurate thermometers to measure the temperature in the warmest part of the refrigerator or coolest part of the hot storage facility. Score: 5,
10F,NYCHC 81.17(e)(1),Flooring improperly constructed/maintained,"MAINTENANCE, CONSTRUCTION & PLACEMENT",Flooring improperly constructed or maintained in that <FLOOR ADJECTIVE> floor observed <CONDITION 90> <LOCATION>. NYCHC 81.17(e)(1),"One non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit. Example: wall in food preparation area made of material not easily cleaned. Score: 2","Two non-food contact surfaces improperly constructed. Unacceptable material used. Non-food contact surfaces or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit. Example: wall in food preparation area made of brick a material not easily cleanable, build-up of grease on the wall adjacent to permanently installed convection oven which is not easily moveable or properly spaced to allow cleaning, dried encrusted grease and old food debris under the walk-in refrigerator which is not properly sealed to the floor, and a rug in the food storage area. Score: 3","Three non-food contact surfaces improperly constructed. Unacceptable material used. Non-food contact surfaces or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.  Example: wall in food preparation area made of material not easily cleaned, build-up of grease on  the wall adjacent to permanently installed convection oven which is not easily moveable or properly spaced to allow cleaning, dried encrusted grease and old food debris under the walk-in refrigerator which is not properly sealed to the floor. Score: 4","Four non-food contact surfaces improperly constructed. Unacceptable material used. Non-food contact surfaces or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit. Example: wall in food preparation area made of brick a material not easily cleanable, build-up of grease on the wall adjacent to permanently installed convection oven which is not easily moveable or properly spaced to allow cleaning, dried encrusted grease and old food debris under the walk-in refrigerator which is not properly sealed to the floor, and a rug in the food storage area. Score: 5",
10F,NYCHC 81.17(e)(2),Walls/ceiling/fixtures improperly constructed/maintained,"MAINTENANCE, CONSTRUCTION & PLACEMENT","Walls, ceilings and their attached fixtures not properly constructed or maintained in that <SURFACE/FIXTURE> <WAS/WERE> observed <CONDITION 91> <LOCATION>. NYCHC 81.17(e)(2)","One non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit. Example: wall in food preparation area made of material not easily cleaned. Score: 2","Two non-food contact surfaces improperly constructed. Unacceptable material used. Non-food contact surfaces or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit. Example: wall in food preparation area made of brick a material not easily cleanable, build-up of grease on the wall adjacent to permanently installed convection oven which is not easily moveable or properly spaced to allow cleaning, dried encrusted grease and old food debris under the walk-in refrigerator which is not properly sealed to the floor, and a rug in the food storage area. Score: 3","Three non-food contact surfaces improperly constructed. Unacceptable material used. Non-food contact surfaces or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.  Example: wall in food preparation area made of material not easily cleaned, build-up of grease on  the wall adjacent to permanently installed convection oven which is not easily moveable or properly spaced to allow cleaning, dried encrusted grease and old food debris under the walk-in refrigerator which is not properly sealed to the floor. Score: 4","Four non-food contact surfaces improperly constructed. Unacceptable material used. Non-food contact surfaces or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit. Example: wall in food preparation area made of brick a material not easily cleanable, build-up of grease on the wall adjacent to permanently installed convection oven which is not easily moveable or properly spaced to allow cleaning, dried encrusted grease and old food debris under the walk-in refrigerator which is not properly sealed to the floor, and a rug in the food storage area. Score: 5",
10F,NYCHC 81.17(e)(3),Non-food contact surface not properly maintained or equipment not properly maintained,"MAINTENANCE, CONSTRUCTION & PLACEMENT",Non-food contact surface(s) or non food contact equipment not properly maintained in that <EQUIPMENT> <WAS/WERE> observed <CONDITION 91> <IN/AT/ON> <LOCATION>. NYCHC 81.17(e)(3),"One non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit. Example: wall in food preparation area made of material not easily cleaned. Score: 2","Two non-food contact surfaces improperly constructed. Unacceptable material used. Non-food contact surfaces or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit. Example: wall in food preparation area made of brick a material not easily cleanable, build-up of grease on the wall adjacent to permanently installed convection oven which is not easily moveable or properly spaced to allow cleaning, dried encrusted grease and old food debris under the walk-in refrigerator which is not properly sealed to the floor, and a rug in the food storage area. Score: 3","Three non-food contact surfaces improperly constructed. Unacceptable material used. Non-food contact surfaces or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.  Example: wall in food preparation area made of material not easily cleaned, build-up of grease on  the wall adjacent to permanently installed convection oven which is not easily moveable or properly spaced to allow cleaning, dried encrusted grease and old food debris under the walk-in refrigerator which is not properly sealed to the floor. Score: 4","Four non-food contact surfaces improperly constructed. Unacceptable material used. Non-food contact surfaces or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit. Example: wall in food preparation area made of brick a material not easily cleanable, build-up of grease on the wall adjacent to permanently installed convection oven which is not easily moveable or properly spaced to allow cleaning, dried encrusted grease and old food debris under the walk-in refrigerator which is not properly sealed to the floor, and a rug in the food storage area. Score: 5",
10G,NYCHC 81.17(a)(2),Living quarters,"MAINTENANCE, CONSTRUCTION & PLACEMENT",Food service operations not separated from living or sleeping quarters in that <KEYBOARD ENTRY> observed <LOCATION> <KEYBOARD ENTRY/BYPASS>. NYCHC 81.17(a)(2) ,Food service operation occurring in one room used as living or sleeping quarters. Score: 2,Food service operation occurring in two rooms used as living or sleeping quarters Score: 3,Food service operation occurring in three rooms used as living or sleeping quarters. Score: 4,Food service operation occurring in four or more rooms used as living or sleeping quarters. Score: 5,
10H, NYCHC 81.29(b)(2),Mechanical:  Test kit not accurate or used,WAREWASHING,Test kit for chemical sanitizer used in warewashing not accurate or used in that test kit <CONDITION 97> for warewashing <EQUIPMENT> <LOCATION>. NYCHC 81.29(b) (2),Manual ware washing inadequate in that one immersion basket not provided or of incorrect size. Score: 2,Manual ware washing inadequate in that one immersion basket not provided or of incorrect size and manual ware washing procedure Score: 3,"Manual ware washing inadequate in that one immersion basket not provided or of incorrect size, manual ware washing procedure incorrect and Score: 4",Minimum final rinse temperature of 160° F not maintained. Score: 5,
10H,NYCHC 81.29(a),Hot water manual warewashing,WAREWASHING,Hot water manual warewashing procedure inadequate in that <CONDITION 93> at sinks <LOCATION>. NYCHC 81.29(a)  ,Manual ware washing inadequate in that one immersion basket not provided or of incorrect size. Score: 2,Manual ware washing inadequate in that one immersion basket not provided or of incorrect size and manual ware washing procedure Score: 3,"Manual ware washing inadequate in that one immersion basket not provided or of incorrect size, manual ware washing procedure incorrect and Score: 4",Minimum final rinse temperature of 160° F not maintained. Score: 5,
10H,NYCHC 81.29(a),Manual chemical sanitizing procedure,WAREWASHING,"Manual chemical sanitization procedure of tableware, utensils and equipment inadequate in that <CONDITION 94> for warewashing sinks <LOCATION>. <OPTIONAL INPUT 94/BYPASS> NYCHC 81.29(a)",Manual ware washing inadequate in that one immersion basket not provided or of incorrect size. Score: 2,Manual ware washing inadequate in that one immersion basket not provided or of incorrect size and manual ware washing procedure Score: 3,"Manual ware washing inadequate in that one immersion basket not provided or of incorrect size, manual ware washing procedure incorrect and Score: 4",Minimum final rinse temperature of 160° F not maintained. Score: 5,
10H,NYCHC 81.29(a)(B) ,Manual:  Test kit not accurate or used,WAREWASHING,Test kit for chemical sanitizer used in warewashing not accurate or used in that test kit <CONDITION 97> for warewashing <EQUIPMENT> <LOCATION>. NYCHC 81.29(a)(B) ,Manual ware washing inadequate in that one immersion basket not provided or of incorrect size. Score: 2,Manual ware washing inadequate in that one immersion basket not provided or of incorrect size and manual ware washing procedure Score: 3,"Manual ware washing inadequate in that one immersion basket not provided or of incorrect size, manual ware washing procedure incorrect and Score: 4",Minimum final rinse temperature of 160° F not maintained. Score: 5,
10H,NYCHC 81.29(b)(1),High temperature mechanical warewashing,WAREWASHING,High temperature mechanical warewashing procedure inadequate in that <CONDITION 95> for unit <LOCATION>. NYCHC 81.29(b)(1),Manual ware washing inadequate in that one immersion basket not provided or of incorrect size. Score: 2,Manual ware washing inadequate in that one immersion basket not provided or of incorrect size and manual ware washing procedure Score: 3,"Manual ware washing inadequate in that one immersion basket not provided or of incorrect size, manual ware washing procedure incorrect and Score: 4",Minimum final rinse temperature of 160° F not maintained. Score: 5,
10H,NYCHC 81.29(b)(2),Mechanical chemical sanitizing procedure,WAREWASHING,Low temperature chemical sanitizing mechanical dishwasher inadequate in that chemical sanitizing dishwasher unit <CONDITION 96> <LOCATION>. NYCHC 81.29(b)(2),Manual ware washing inadequate in that one immersion basket not provided or of incorrect size. Score: 2,Manual ware washing inadequate in that one immersion basket not provided or of incorrect size and manual ware washing procedure Score: 3,"Manual ware washing inadequate in that one immersion basket not provided or of incorrect size, manual ware washing procedure incorrect and Score: 4",Minimum final rinse temperature of 160° F not maintained. Score: 5,
10I,NYCHC 81.07(o),Single service articles improperly stored/reused,UTENSILS,Single service articles improperly <USED/STORED> in that <UNIT> <of/BYPASS> <ADJECTIVE 100> <EQUIPMENT> observed <CONDITION 100> <IN/AT/ON> <EQUIPMENT> <LOCATION>. NYCHC 81.07(o),"Single service item reused, improperly stored, dispensed or not used when required. Example: drinking straws not protected from contamination. Score: 2","Single service item reused, improperly stored, dispensed or not used when required. Example: drinking straws not properly dispensed and paper plates not protected from contamination. Score: 3","Single service item reused, improperly stored, dispensed, not used when required. Example: drinking straws not properly dispensed, paper plates not protected from contamination and forks not protected from contamination. Score: 4","Single service item reused, improperly stored,  dispensed, not used when required. Example: drinking straws not properly dispensed, paper plates not protected from contamination, forks not protected from contamination and plastic forks reused. Score: 5",
10I,NYCHC 81.07(o),Single service articles including drinking straws improperly dispensed,UTENSILS,Single service articles including drinking straws improperly dispensed in that <UNIT> <of/BYPASS> <KEYBOARD ENTRY> observed <CONDITION 101> <IN/AT/ON> <EQUIPMENT> <LOCATION>. NYCHC 81.07(o) ,"Single service item reused, improperly stored, dispensed or not used when required. Example: drinking straws not protected from contamination. Score: 2","Single service item reused, improperly stored, dispensed or not used when required. Example: drinking straws not properly dispensed and paper plates not protected from contamination. Score: 3","Single service item reused, improperly stored, dispensed, not used when required. Example: drinking straws not properly dispensed, paper plates not protected from contamination and forks not protected from contamination. Score: 4","Single service item reused, improperly stored,  dispensed, not used when required. Example: drinking straws not properly dispensed, paper plates not protected from contamination, forks not protected from contamination and plastic forks reused. Score: 5",
10J,NYCHC 81.21(c),Wash hand sign,SIGNS,Wash hands sign observed not posted at hand wash facility <IN/AT/ON> <LOCATION>. NYCHC 81.21(c),hand wash sink not provided Score: 2,,,,
15A1,NYSPHL 1399-o,Smoking permitted in an area where it is prohibited ,CLEAN INDOOR AIR ACT,<EMPLOYEE> allowed and permitted smoking in a smoking prohibited area under the control of the permittee in that I observed a <DESCRIPTION> <DESCRIPTION> <AND/BYPASS> <DESCRIPTION> smoking <IN/AT/ON> <LOCATION>. <EMPLOYEE> was present at time of the violation. NYSPHL 1399-o ,,,,,
15B1,Admin. Code 17-177(b),Tobacco vending machine present in a facility other than tavern,DISTRIBUTION OF TOBACCO PRODUCTS THROUGH VENDING MACHINES,"Tobacco products were being distributed through a vending machine in a public place where their distribution is prohibited by law, specifically, the establishment is a <ESTABLISHMENT 1> and not a tavern. The tobacco vending machine was located <LOCATION>. Corrective action: <CORRECTIVE ACTION 107>. Admin. Code 17-177(b) ",,,,,
15B2,Admin. Code 17-177(c)(1),Tobacco vending machine not 25 feet from door,DISTRIBUTION OF TOBACCO PRODUCTS THROUGH VENDING MACHINES,Tobacco vending machine in a tavern is not at least 25 feet from any entrance to the premises in that machine is located <LOCATION> which is <#> feet from an entrance. Admin. Code 17-177(c)(1) ,,,,,
15B3,Admin. Code 17-177(c)(1),Tobacco vending machine not visible by owner,DISTRIBUTION OF TOBACCO PRODUCTS THROUGH VENDING MACHINES,Tobacco vending machine in a tavern is not directly visible by the owner of the premises or his or her employee or agent in that the machine was located <LOCATION> <KEYBOARD ENTRY>. Admin. Code 17-177(c)(1) ,,,,,
15B4,Admin. Code 17-177(d),Sign not durable/lacks required information,DISTRIBUTION OF TOBACCO PRODUCTS THROUGH VENDING MACHINES,Tobacco vending machine identification sign inadequate in that the sign posted <CONDITION 110>. Admin. Code 17-177(d) ,,,,,
15B5,Admin. Code 17-177(d),Sign not posted on machine and not visible to the public,DISTRIBUTION OF TOBACCO PRODUCTS THROUGH VENDING MACHINES,"Failure to post a durable sign on the vending machine, visible to the general public, stating the applicable cigarette license number and expiration date, the license holder's name, place of business and phone number in that <CONDITION 111>. Admin. Code 17-177(d) ",,,,,
15C1,Admin. Code 17-176.1(b),Sale of cigarettes for less than the listed price,PROHIBITION OF THE SALE OF DISCOUNTED CIGARETTES AND TOBACCO PRODUCTS,Retail dealer was <SELLING/OFFERING/ACCEPTING> <TOBACCO BRAND> cigarettes at less than the listed price by <SELLING/OFFERING/ACCEPTING> <TOBACCO BRAND><PRICE REDUCTION INSTRUMENT; <PRICE REDUCTION INSTRUMENT>allowed the retail dealer to <SELLING/OFFERING/ACCEPTING> <DISCOUNT> which is below the listed price.    The listed price was <LISTED PRICE>.     <<BYPASS> I observed <RETAIL DEALER> <SELLING/OFFERING> <DESCRIPTION> <DESCRIPTION>> Admin. Code17-176.1(b),,,,,
15C2,Admin. Code 17-176.1(c),Sale of tobacco products for less than the listed price,PROHIBITION OF THE SALE OF DISCOUNTED CIGARETTES AND TOBACCO PRODUCTS,Retail dealer was <SELLING/OFFERING/ACCEPTING> <TOBACCO BRAND> cigarettes at less than the listed price by <SELLING/OFFERING/ACCEPTING> <TOBACCO BRAND><PRICE REDUCTION INSTRUMENT; <PRICE REDUCTION INSTRUMENT>allowed the retail dealer to <SELLING/OFFERING/ACCEPTING> <DISCOUNT> which is below the listed price.    The listed price was <LISTED PRICE>.     <<BYPASS> I observed <RETAIL DEALER> <SELLING/OFFERING> <DESCRIPTION> <DESCRIPTION>> Admin. Code 17-176.1 (c),,,,,
15C3,Admin. Code 17-176.1(d),Sale of cigarettes or little cigars less than floor price,PROHIBITION OF THE SALE OF DISCOUNTED CIGARETTES AND TOBACCO PRODUCTS,<EMPLOYEE> was observed <SELLING/OFFERING/ACCEPTING> <TOBACCO PRODUCTS> to a consumer for <#> dollars which is less than the statutory floor price of $10.50. Admin. Code17-176.1(d),,,,,
15D1,Admin. Code 17-176(b),Distributing tobacco at less than basic cost,PROHIBITION ON THE DISTRIBUTION OF TOBACCO PRODUCTS,Distributing tobacco products to the general public at a public place or public event for less than basic cost in that <SPONSOR/VENDOR> at <KEYBOARD ENTRY>  event observed distributing <TOBACCO BRAND> <TOBACCO PRODUCTS> <LESS THAN BASIC COST>. Admin. Code 17-176(b) ,,,,,
1.50E+02,Admin. Code 17-714,Sale of herbal cigarettes or herbal shisha to persons under 18,REGULATION OF THE SALE OF HERBAL CIGARETTES AND FLAVORED TOBACCO PRODUCT,<NON-TOBACCO PRODUCTS> observed being offered for sale by the <EMPLOYEE> to a <MALE/FEMALE> customer that is under the age of eighteen in that the individual stated <HE/SHE> was <#> years of age. Admin. Code 17-714,,,,,
1.50E+03,24 RCNY 28-02(a),Flavored tobacco products sold or offered for sale,REGULATION OF THE SALE OF HERBAL CIGARETTES AND FLAVORED TOBACCO PRODUCT,Flavored tobacco products are being offered for sale or sold in an establishment other than a tobacco bar in that <FLAVORED> <TOBACCO PRODUCTS> <WAS/WERE> observed being <SALE> <POINT OF SALE1> 24 RCNY 28-02(a),,,,,
1.50E+04,24 RCNY 28-06,Original label for smoking products sold or offered for sale,REGULATION OF THE SALE OF HERBAL CIGARETTES AND FLAVORED TOBACCO PRODUCT,The original label for tobacco or other smoking product(s) not maintained on site for <#> <UNIT> <OF/BYPASS> <TOBACCO BRAND> <TOBACCO PRODUCTS> that <WAS/WERE> observed being <SALE> <POINT OF SALE1>. 24 RCNY 28-06   ,,,,,
15F1,Admin. Code 17-506(d),Ashtrays in smoke-free area,SMOKE-FREE AIR ACT,Ashtrays observed in smoke-free area in that <#> ashtrays observed <LOCATION>. Admin. Code 17-506(d),,,,,
15F2,Admin. Code 17-508(b),Operator failed to make a good faith effort to inform smokers or users of electronic cigarettes of the SFAA,SMOKE-FREE AIR ACT,Respondent failed to make a good faith effort to notify a person who was smoking or using an electronic cigarette in a smoking prohibited area that he/she was violating the Smoke-Free Air Act in that I observed a <DESCRIPTION> <DESCRIPTION> <DESCRIPTION> smoking or using an electronic cigarette <LOCATION>. <EMPLOYEE> was present at time of the violation. NOTE: <CONDITION 119>  Admin. Code 17-508(b),,,,,
15F3,Admin. Code 17-513.3,Registration of retail tobacco store or retail electronic cigarette store,SMOKE-FREE AIR ACT,Operating a retail tobacco store or retail electronic cigarette store without having registered  with the Department in accordance with the rules of the Department in that <KEYBOARD ENTRY>. Admin. Code 17-513.3,,,,,
15F4,24 RCNY 10-11(b),No Smoking sign not posted at hotel or motel entrances or by elevators where ashtrays are located,SMOKE-FREE AIR ACT,"Required signs stating “NO SMOKING”, “SMOKING IS PROHIBITED IN ALL AREAS OF THIS HOTEL (MOTEL) EXCEPT IN GUEST ROOMS DESIGNATED AS SMOKING ROOMS” and “PLEASE EXTINGUISH YOUR CIGARETTE, CIGAR OR PIPE” were not posted by <LOCATION> where ashtrays are permitted. 24 RCNY 10-11(b)",,,,,
15F5,24 RCNY 10-12(c),Sign lettering and color does not meet specifications,SMOKE-FREE AIR ACT,"The size of the lettering of the ""Smoking Permitted And Electronic Cigarette Use Permitted"" sign exceeds that of the ""No Smoking/No Electronic Cigarette Use"" sign in that <KEYBOARD ENTRY>. 24 RCNY Section 10-12(c) ",,,,,
15F6,Admin. Code 17-504(f),Workplace SFAA policy not prominently posted in workplace,SMOKE-FREE AIR ACT,Workplace smoking and electronic cigarette use policy not prominently posted in workplace in that smoking and electronic cigarette use policy <CONDITION 141>. Admin. Code 17-504(f) ,,,,,
15F7,Admin. Code 17-506(a),Sign prohibiting smoking or using electronic cigarettes not conspicuously  posted,SMOKE-FREE AIR ACT,"Signs prohibiting smoking that shall state ""No Smoking”, ""Electronic Cigarette Use Prohibited"" or that is an international symbol were not conspicuously posted <LOCATION> where smoking/electronic cigarette usage is prohibited.  Admin. Code 17-506(a)",,,,,
15F8,Admin. Code 17-506(a),Sign permitting smoking or using electronic cigarettes not conspicuously posted,SMOKE-FREE AIR ACT,"Smoking or Electronic Cigarette Use Permitted sign(s), which must include the following statement ""Warning: TOBACCO SMOKE CAUSES CANCER, HEART DISEASE, LUNG DISEASE AND CAN HARM YOUR BABY"" not posted as required. Guidance: Signs permitting smoking that state ""Smoking"" and ""Electronic Cigarette Use Permitted"" can be obtained by calling 311.  Admin. Code 17-506(a)",,,,,
15F9,Admin. Code 17-506(b),No information prohibiting Smoking and electronic cigarette use shown in motion picture theatre,SMOKE-FREE AIR ACT,Information indicating that smoking or the use of electronic cigarettes is prohibited within the premises was not shown upon the screen for at least five seconds prior to the showing of a feature motion picture at a theatre which exhibits motion pictures to the public.  <KEYBOARD ENTRY>  Admin. Code 17-506(b),,,,,
15G1,Admin. Code 17-703.1,Cigarette tax stamp sign not posted,TOBACCO PRODUCT REGULATION ACT,"A sign stating that ""Cigarettes sold in New York City must be in packages bearing valid tax stamps"" not conspicuously posted at the point of sale of cigarettes or where cigarettes are displayed.  Admin. Code 17-703.1",,,,,
15G2,Admin. Code 17-703.2,Sale of packaged cigarettes without tax stamp,TOBACCO PRODUCT REGULATION ACT,Offering for sale packages of cigarettes without a valid tax stamp in that <TOBACCO BRAND> <TOBACCO PRODUCTS> observed being <SALE> <POINT OF SALE1> without valid tax stamp.  Admin. Code 17-703.2,,,,,
15G3,Admin. Code 17-704,Out of packaged sales of tobacco products,TOBACCO PRODUCT REGULATION ACT,Operator selling out-of-package tobacco products in that <EMPLOYEE> was observed selling <#> <TOBACCO BRAND> <TOBACCO PRODUCTS> to a <MALE/FEMALE> customer <LOCATION>. Admin. Code 17-704 ,,,,,
15G4,Admin. Code 17-704(b),"Cigars priced at, or  below  $3.00 each sold in packages containing less than four cigars",TOBACCO PRODUCT REGULATION ACT,"Selling or offering “out-of-packaged” cigars at a price at, or below $3.00 in that I observed the <EMPLOYEE> <SELLING/OFFERING/ACCEPTING> single cigars that were previously prepackaged by the <TOBACCO BRAND> manufacturer and were being sold to a <MALE/FEMALE> customer <DESCRIPTION> for $<#>  <POINT OF SALE1>.  Admin. Code 17-704(b)",,,,,
15G5,Admin. Code 17-704(c),Little cigars sold in packages containing less than twenty cigars,TOBACCO PRODUCT REGULATION ACT,Selling or offering for sale little cigars in a package containing less than at least twenty little cigars in that I observed the <EMPLOYEE> selling <#> <TOBACCO BRAND> little cigars to a <MALE/FEMALE> customer.  Admin. Code 17-704(c),,,,,
15G6,Admin. Code 17-705,Employee under the age of 18 years of age selling tobacco products without direct supervision of an adult retailer,TOBACCO PRODUCT REGULATION ACT,"An employee who is under the age of 18 and who is not under the supervision of a retail dealer, employee or other agent who is at least 18 years old, was observed selling tobacco products to customers in that <NAME>, age <#> as verified by <VERIFICATION MEANS>, was observed selling <#> <UNIT> of <TOBACCO BRAND> <TOBACCO PRODUCTS> to a <MALE/FEMALE> customer <DESCRIPTION>. Admin. Code 17-705 ",,,,,
15G7,Admin. Code 17-706,"Sale of cigarettes, tobacco products, liquid nicotine or electronic cigarettes to persons under 21",TOBACCO PRODUCT REGULATION ACT,"<EMPLOYEE> was observed selling  <TOBACCO PRODUCTS> without asking for identification from an individual who is under 21 years of age in that <EMPLOYEE>  sold  <TOBACCO PRODUCTS>  to a <MALE/FEMALE> customer <DESCRIPTION>. The customer was <#> years old, as indicated on the <IDENTIFICATION> card. Admin. Code 17-706",,,,,
15G8,Admin. Code 17-706(c),No minimum age sign/missing information on sign,TOBACCO PRODUCT REGULATION ACT,"A sign reading ""Prohibited for Sale to Persons Under 21: Cigarettes, tobacco products or electronic cigarettes and prohibited for sale to persons under 18:  Non-tobacco shisha, herbal cigarettes, pipes, rolling papers or smoking paraphernalia""  not conspicuously posted where tobacco products or electronic cigarettes  are sold. Admin. Code 17-706 (c ) ",,,,,
15G9,Admin. Code 17-708,Use of tobacco on school premises,TOBACCO PRODUCT REGULATION ACT,Use of tobacco product on school premises (at or below 12th grade level) observed in that <PERSON> was observed smoking <TOBACCO PRODUCTS>  <LOCATION>.   Admin. Code 17-708 ,,,,,
16A,NYCHC 81.08(a),"Cooking oil, shortening, margarine contains 0.5 grams or more of artificial trans fat.",ARTIFICIAL TRANS FAT,Food item(s) found containing 0.5 grams or more of artificial trans fat in that <QUANTITY> <UNIT> of <FOOD BRAND> <FOOD> contain(s) <#> grams of artificial trans fat per serving <FOOD LABEL> and <IS/ARE> observed being <USED/STORED> <IN/AT/ON> <EQUIPMENT> <LOCATION>.  <DESCRIBE> NYCHC 81.08(a),,,,,
16B,NYCHC 81.08(c),Nutritional fact labels and/or ingredient label is not maintained on site.,ARTIFICIAL TRANS FAT,The original <NUTRITION LABEL> is not maintained on site for <QUANTITY> <UNIT> <OF/BYPASS> <FOOD BRAND> <FOOD> that <IS/ARE> observed being <USED/STORED> <IN/AT/ON> <EQUIPMENT> <LOCATION>.  <DESCRIBE>  NYCHC 81.08(c),,,,,
16C,NYCHC 81.50(c),"Calorie information font, appearance, term used improper",CALORIE MENU LABELING,"Calorie information on the <MENU POSTING> <IN/AT/ON> <LOCATION> is not listed <CONDITION 160>, in that the calorie information is <DESCRIPTION 160> <THE/BYPASS> <MENU ITEM/PRICE/BYPASS>.  NYCHC 81.50 (c )",,,,,
16C,NYCHC 81.50(c),Calorie information for standard menu item offered in two different combinations not posted with a slash between both calorie counts,CALORIE MENU LABELING,"Calorie information improperly posted <IN/AT/ON> the <MENU POSTING> for <COMBINATION>, a standard menu item(s) where the calorie information <IS/ARE> not posted with a slash separating the two calorie counts.  The <MENU/MENU BOARD> is located <IN/AT/ON> <LOCATION>.  NYCHC 81.50(c)   Guidance:   <MENU WRITTEN REQUIREMENTS 1>",,,,,
16C,NYCHC 81.50(c),Calorie information for standard menu items that come in two different varieties not posted with a slash between both calorie count,CALORIE MENU LABELING,"Calorie information improperly posted <IN/AT/ON> the <MENU POSTING> for <VARIETY>, a standard menu item(s) where the calorie information <IS/ARE> not posted with a slash separating the two calorie counts.  The <MENU/MENU BOARD> is located <IN/AT/ON> <LOCATION>.  NYCHC 81.50(c) Guidance:   Standard menu offered with two different varieties must list the number of calories for each option separated with a slash between the two different calorie counts, for example: 250cal/500 cal.",,,,,
